catalog_id	version	parent_uid	child_uid	url	child_asset_type	rel_pos	wrapped_md5	unwrapped_md5	download_date	content_date	status_in_corpus
LDC2018E01	V2.0	IC0011SZH	HC00002Z0	http://www.bbc.com/news/av/world-europe-26315477/ukraine-conflict-cctv-shows-yanukovych-fleeing	.ltf.xml	1	58ba7d9449e75558f1022d1e81d3300d	e498fd4aceda68f3418a22147907fa82	2017-10-31	2014-02-23	present
LDC2018E01	V2.0	IC0011SZH	HC00000U7	https://ichef-1.bbci.co.uk/news/640/media/images/73169000/jpg/_73169486_73168768.jpg	.jpg.ldcc	5	63399af2b49456d5b833a76d71b16b2d	30a3b9d0bcd721ddd0551c3d6eafa1f9	2017-10-26	2014-02-23	present
LDC2018E01	V2.0	IC0011SZH	HC00000U0	https://ichef-1.bbci.co.uk/news/200/media/images/73169000/jpg/_73169488_73168768.jpg	.jpg.ldcc	3	ac15d86906e72d029561654993131b0b	a555f5114a8124e92b5088ae2ad9f866	2017-10-26	2014-02-23	present
LDC2018E01	V2.0	IC0011SZH	HC00000TW	https://ichef-1.bbci.co.uk/news/1024/media/images/73169000/jpg/_73169488_73168768.jpg	.jpg.ldcc	4	c1ea9df990f0bc6082b53addebe9cd2c	fa8d25711fe7d2ee5663bc5056788331	2017-10-26	2014-02-23	present
LDC2018E01	V2.0	IC0011SZH	HC00000U5	http://news.bbcimg.co.uk/media/images/73163000/jpg/_73163974_73163973.jpg	.jpg.ldcc	15	6388ac79274923f51e4d37210af12502	12a1e4b3ca4a15407003da612571ebf8	2017-10-26	2014-02-23	present
LDC2018E01	V2.0	IC0011SZH	HC00000U3	http://news.bbcimg.co.uk/media/images/73165000/jpg/_73165994_73165986.jpg	.jpg.ldcc	13	72b6e2e6d528c93da22c597840ba0e46	a03361234bc3d337ddc4ed76fa70cd4b	2017-10-26	2014-02-23	present
LDC2018E01	V2.0	IC0011SZH	HC00000U2	http://news.bbcimg.co.uk/media/images/73165000/jpg/_73165360_73165359.jpg	.jpg.ldcc	12	a4018af7b183619f355ec576aee09509	f1ea38afb382b7734faf5135d0fc8eb3	2017-10-26	2014-02-23	present
LDC2018E01	V2.0	IC0011SZH	HC00000U1	http://news.bbcimg.co.uk/media/images/73167000/jpg/_73167102_73167100.jpg	.jpg.ldcc	11	2f65810e08b9a3424d18c7d0bf64ddc6	d47ae3de409769594401f5450f3368d7	2017-10-26	2014-02-23	present
LDC2018E01	V2.0	IC0011SZH	HC00000U6	http://news.bbcimg.co.uk/media/images/73164000/jpg/_73164405_de25.jpg	.jpg.ldcc	16	e4fd05bc61fac0cc450eb9b226172179	77fff470e88d4019d7ba1b8bb298143a	2017-10-26	2014-02-23	present
LDC2018E01	V2.0	IC0011SZH	HC00000U4	http://news.bbcimg.co.uk/media/images/73164000/jpg/_73164687_de28.jpg	.jpg.ldcc	14	816da83f465bbfec9a87a79bbf2e0908	4f9bb43881a87d359c6ad6a370c2a6ce	2017-10-26	2014-02-23	present
LDC2018E01	V2.0	IC0011SKY	HC00000EJ	https://i.ytimg.com/vi/dmQ_4pf9hV8/hqdefault.jpg	.jpg.ldcc	5	940ba556a6449f55049f6c467b234e67	94c32ddcb3ddd06267449f763caac4b3	2017-10-23	n/a	present
LDC2018E01	V2.0	IC0011SKY	IC0011SL2	https://www.youtube.com/watch?v=dmQ_4pf9hV8	.mp4.ldcc	2	e3b46662e98647a9f7e0a1b127365935	06bc01c497c2af29de72790f7ea6e190	2018-01-05	n/a	present
LDC2018E01	V2.0	IC0011SKY	IC0011SL0	https://www.youtube.com/watch?v=dmQ_4pf9hV8	.ltf.xml	3	2ca669436a65edc5d1a4a4c78f21c590	c7d1e65180b9d8c7195df84e9bfdf777	2018-01-05	2014-07-23	present
LDC2018E01	V2.0	IC0011T08	HC00002Z1	http://www.dailymail.co.uk/news/article-2565933/Where-Ukrainian-president-Fugitive-Viktor-Yanukovychs-plane-denied-permission-fly-Russia-spokesman-does-not-know-is.html	.ltf.xml	1	55ccb547a63008a6e5003928412e3ca2	635e7ccf3c1d8617cd6e039a568c4e07	2017-10-31	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TCK	http://i.dailymail.co.uk/i/pix/2018/01/03/19/47BAB85C00000578-0-Greetings_The_Seinfeld_family_shared_a_photo_of_their_trip_to_Je-m-3_1515008970890.jpg	.jpg.ldcc	288	f479de95c68950673f9f25c50c7dd984	c9055c534778dd50597f8727504b8188	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TCJ	http://i.dailymail.co.uk/i/pix/2018/01/03/14/linkListItem-65035829-47B6033300000578-758_154x115.jpg	.jpg.ldcc	389	9b53734b0b42b1aed0ee4dfe5806721a	d0cd1495ab2b91bdd24678a9e66f354c	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TCI	http://i.dailymail.co.uk/i/pix/2018/01/04/13/linkListItem-65037949-47BF14B400000578-433_154x115.jpg	.jpg.ldcc	201	62b45ca927d5abceec51bcc57a6357b6	6d0cf6853823e6caff039a8f69581d48	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TCH	http://i.dailymail.co.uk/i/pix/2018/01/05/13/linkListItem-65041271-47C830E000000578-932_154x115.jpg	.jpg.ldcc	64	f79b22cbdc2878165062a86068e29982	1b675d07b514bc8b5b076fd2f428c202	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TCD	http://i.dailymail.co.uk/i/pix/2018/01/02/21/47B5606700000578-0-image-m-107_1514930359130.jpg	.jpg.ldcc	408	b6e7e2ff11b9bcf5883e21df62e40ee5	65fac4cdd6ed9bd9777e656a1ee7b225	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TCC	http://i.dailymail.co.uk/i/pix/2018/01/03/07/47B70E2400000578-0-image-m-129_1514965600446.jpg	.jpg.ldcc	343	4075ae8bfc4857f3dcd6c0d966b7586a	4ce9eff9ceee12d4243d3b021be647a3	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TCB	http://i.dailymail.co.uk/i/pix/2018/01/02/22/47B590E100000578-0-image-a-144_1514932219118.jpg	.jpg.ldcc	341	b02d8fdbc4863e7bfa9ba0bb78bbab47	dc95d61376626a3d4c5d880105632389	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TCA	http://i.dailymail.co.uk/i/pix/2018/01/03/12/47B9F12500000578-0-image-a-148_1514984191474.jpg	.jpg.ldcc	300	19801988387028ee2f2836c5d1bcfb69	5dd8a2d3c840062895a8026ca0e3dfa2	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC9	http://i.dailymail.co.uk/i/pix/2018/01/03/22/47BCE22100000578-0-image-a-151_1515020216380.jpg	.jpg.ldcc	272	8c71d5f4bfc4c773baea5e0e7081ac37	c928c7d6ebb24f15bd0364fa91f36996	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC8	http://i.dailymail.co.uk/i/pix/2018/01/03/21/47BC520D00000578-0-image-m-103_1515014599872.jpg	.jpg.ldcc	263	6a41a91a0d187fea6c8203e8d3b1fa54	7c5d0c1897183a899ac0eaa1bb769dd2	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC7	http://i.dailymail.co.uk/i/pix/2018/01/03/20/47BB406B00000578-0-image-a-135_1515011652120.jpg	.jpg.ldcc	241	ec540552009403c69ee25725dc2971dd	8a9553d08055be756d30a06881cbda76	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC6	http://i.dailymail.co.uk/i/pix/2018/01/04/13/47C0858100000578-0-image-m-206_1515073195792.jpg	.jpg.ldcc	236	041f44483bef707a9a0e3c21236e9db8	9f4529a44313b36d7b8980f262a447ed	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC5	http://i.dailymail.co.uk/i/pix/2018/01/04/07/47BF041B00000578-0-image-m-188_1515051816591.jpg	.jpg.ldcc	208	33197039579437fc6f75ae443c40f560	59a96b4e28e9c9ccba7e0cbd4cacab58	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC4	http://i.dailymail.co.uk/i/pix/2018/01/04/19/47C21D0F00000578-0-image-m-124_1515093065258.jpg	.jpg.ldcc	171	c2f2e158125dff90672210dbb7abf3c3	6053bc420d82a5dea38014b8bca6be65	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC3	http://i.dailymail.co.uk/i/pix/2018/01/04/21/47C29B7700000578-0-image-m-111_1515103099143.jpg	.jpg.ldcc	154	608134aa0d041b68b77b3d5aefc15cbc	4b2472eb0f32256683486a768275bda3	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC2	http://i.dailymail.co.uk/i/pix/2018/01/05/07/47C5C54C00000578-0-image-a-157_1515138448455.jpg	.jpg.ldcc	101	c945e557413c1d5329ca9165e62aa1f6	e3bbd17dc5c5af38537bd53fbd77a318	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC1	http://i.dailymail.co.uk/i/pix/2018/01/05/06/47C5951700000578-0-image-a-117_1515132808847.jpg	.jpg.ldcc	93	b4040db7546e0a8790e670d4ecf32283	ea41587082048df660cd7ef3ad0356b2	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TC0	http://i.dailymail.co.uk/i/pix/2018/01/05/06/47C5BD4B00000578-0-image-m-132_1515135331939.jpg	.jpg.ldcc	70	3afa23a6c95b832409f9279bda2994af	d84fe598adf292507024a32891d58a36	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011TBZ	http://i.dailymail.co.uk/i/pix/2017/11/29/16/46CF011800000578-0-image-m-113_1511974516698.jpg	.jpg.ldcc	67	0a390e8c5573bbb25d4d95b89c0fadc1	234f6f058e774bf7490cae95da2645d7	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011SYO	http://i.dailymail.co.uk/i/pix/2018/01/05/15/47AF7EC000000578-0-image-m-122_1515166996742.jpg	.jpg.ldcc	17	26699c9d37432e014bda49f712d8771d	b797a380cf8a9c33f695c3147a63da06	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011SYN	http://i.dailymail.co.uk/i/pix/2018/01/04/14/47C0FB8700000578-0-image-m-159_1515076363964.jpg	.jpg.ldcc	10	bf9cc93935241deb1db76691b26dcef6	cf9a6c844ce418559ccebb2d20dbd5ce	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011T50	http://i.dailymail.co.uk/i/pix/2018/01/05/07/47C59FA400000578-0-image-m-80_1515138727302.jpg	.jpg.ldcc	104	4473d8e6de49a533ce1febdad33a41ba	1325ec5c29ac0a7badd26f5c09ddfecb	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011T4Z	http://i.dailymail.co.uk/i/pix/2018/01/05/03/47C50F0400000578-0-image-m-37_1515121471784.jpg	.jpg.ldcc	100	36068a12fd80586cc2b0513d659f9790	3b8471950fd41939e1ce953e92424b4f	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011T4Y	http://i.dailymail.co.uk/i/pix/2018/01/05/16/linkListItem-0-47C7D67900000578-597_154x115.jpg	.jpg.ldcc	98	b5e30e73f8705e24b22b0380ab4b5e70	f6c0b65af7ba9a3e48738eb0c08f8d21	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011T4X	http://i.dailymail.co.uk/i/pix/2018/01/05/11/47C6BFDD00000578-0-image-m-27_1515150518803.jpg	.jpg.ldcc	97	14a944f434f1a0b3ecb75425738e8141	7b47e34c7512bd857e149887d20ac9ed	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011T4W	http://i.dailymail.co.uk/i/pix/2018/01/05/04/47C53B4E00000578-0-image-m-48_1515125168973.jpg	.jpg.ldcc	94	b4f8bd4b35c6adab6e50e69d77fd671e	024a31f60a5143a3ac3b4711590262a8	2018-01-05	2014-10-31	present
LDC2018E01	V2.0	IC0011T08	IC0011T4V	http://i.dailymail.co.uk/i/pix/2018/01/05/07/47C5D24300000578-0-image-a-14_1515136559662.jpg	.jpg.ldcc	92	5d6fb56dd399c14ed0559867833e20f9	53aac5bdba0566aa1352afa8bfec9b5b	2018-01-05	2014-10-31	present
